id_fichier,sentiment,commentaire
0,positif,"maj des annes aprs il y a toujours ce dbat entre le
 jeu de base et spcial edition se se est mieux car les mods 
lintret principal du jeu lire plus bas sont sur se et plus sur le 
jeu de base----------------------------------------------bon ce jeu est bon excellent mais il manque quelque chose dirremplaable et quun mod ne peut pas combleren
 parlant de mod  skyrim cest le jeu o tu te dis tiens ce serait 
bien davoir et tu as pas fini ta phrase quil y a un petit lutin 
qui sappelle nexus qui te crie  loreille ya un mod pour ca donc pour profiter rellement des magnifiques paysages et de laventure commencez par jouer hse dire tiens ce serait bien davoir -un lutin apparait-installer nmm nexus mod manager -cest un peu la maison du pre nol-installer skse -un truc qui sert aux lutins  faire des trucs vraiments oufs-mettre un raccourci steam skse -sinon on passe son temps  le chercher-passer h  installer plein de mod -jusqu quon se sente retenu contre notre grs par les lutins-avoir
 un jeu beau  pleurer avec un vrai inventaire pratique un vrai 
systme de magie qui marche plein de dragons diffrents un systme de 
combat qui tient la route un environnement immersif etc et non le 
jeu navait pas vraiment a  la basebon alors quest ce qui va pas  quest ce qui manque et
 bien la mme chose qui manque  tous les jeux bathesda  une mise en 
scne scnaristique correcte les personnages sont fades les qutes 
fedex se ressemblent toutes et sont pas du tout cohrentes les 
villageois tenvoient toujours  lautre bout de map trouver leur pe 
quils ont fait tomb en allant  oui ils vont    km 
etc etccest dommage pourquoi ne mettent ils pas quelques 
ressources pour avoir des discussions qui en vaillent la peine  
pourquoi ne mettent ils pas quelques gars pour avoir des cinmatiques 
aux moments clefs du jeu  et mme sans cinmatiques cest pas 
compliqu de rajouter de la profondeur  une scne  alors pourquoi je 
sais pas cest bathesdails ont rachet la srie fallout mais 
ils nont jamais compris ce quils pouvaient rellement apprendre de 
fallout  fallout  ou mme de fnv  la mise en scne  aller le jeu 
est excellent mais en terme de jeu de rle ce ne sera jamais un chef 
doeuvre mme si tout le monde en rve secrtement et quon compense 
avec plein de mods styls je taime quand mme va tiens pouce en lair sinon les lutins seraient malheureuxun
 grand merci  la communaut et aux gens qui bossent dessus ya 
plusieurs mod de la taille de dlc qui vont sortir en  gratuitement
  -cherchez beyond skyrim-edit   suite  un 
grand nombre davis dfavorables du type meh skyrim original est 
mieux je ne peux que dire  cest fauxraison  les derniers mods 
sont -au mieux- optimiss pour la special edition qui utilise mieux les
 processeurs -au pire- plus du tout compatibles pour skyrim originalbien
 entendu si vous avez dj la version legendary cela ne vaut 
certainement pas le coup de racheter le jeu et vous pourrez vous 
contenter des anciennes version des mods mais si vous tes un nouveau 
joueur comme moi surtout  cest la special edition qui vous fautah
 oui et pour les chasseurs de succs comme moi aucun problme avec les
 mods ya un mod qui permet de gagner les succs tout en jouant avec 
des mods si lavis vous a 
aid nhsitez pas  mettre un pouce en lair sinon mettez un pouce en
 bas ou ragissez en commentaire a peut aider les autres lecteurs si
 dautres de mes avis vous intressent la liste de mes recommandationsvous pouvez voir mon profil complet ici blaystrodsol pour le moment je naccepte pas les demandes de connexion"
1,positif,super jeu- monde ouvert- solo- rpg- premire personne- graphiquement je le trouve magnifique  et jy joue en juin bref tout ce que jaime
2,positif,"honntement les khajits et les argoniens ne sont pas 
vraiment des habitants de bordeciel ils devraient rentrer dans leur 
pays surtout quils contribuent beaucoup  linscurit"
3,positif,"produit reu gratuitementet alors ce lifting si
 vous mourrez denvie de replonger en bordeciel pour chasser le 
mammouth avec une dague de fer hurler fus-ro-dah sur les chvres qui 
passent dshabiller les gens ni vu ni connu tre attaqu par des loups
 toutes les  minutes faire  fois chaque donjon car vous les avez 
tous visits avant quon vous y envoie officiellement pour y faire les 
missions passer inaperu en tant simplement accroupi devant les gens
 ou encore offrir votre pote lydia en sacrifice parce que vous tes 
vraiment mchantthe elder scrolls v  skyrim  special editionvous permettra de refaire tout cela et bien plus encore dans une province de bordeciel magnifieet oui skyrim soffre un petit ravalement de faade sans doute mrit mais a sarrte l cestexactement le mme jeuen ce qui concerne le reste mme pour les bugs mais rien qui soit rellement vilain ou handicapant daprs mon expriencedisons-
le  cest plus joli vraiment plus joli les textures sont plus 
fines les ombres plus marques les nouveaux effets de lumire et 
volumtriques font le boulotdune manire gnrale les 
conditions mtorologiques sont mieux rendues avec une lumire solaire 
plus intense des rayons de lumire qui filtrent  travers les 
branchages des couleurs bien plus vives et naturelles des nuits un peu
 plus marques des brumes dont on ressent lpaisseur etcle 
jeu est plus crdible visuellement car on na plus la grisaille et les 
couleurs dsatures permanentes de la version originelle qui donnaient 
limpression dun filtre gristre qui dnaturait tout bref mme si 
latmosphre du jeu se voulait  nordique  elle tait 
visuellement terne fade uniforme a manquait dclat et de nuances 
dans cette rdition on a enfin droit  des ciels vraiment bleus du 
soleil qui illumine vraiment des ombres vraiment sombres et ainsi de 
suiteon regrettera peut-tre un peu les coups de jour 
 surexposs  la lumire frappant la face dun personnage ou
 une surface claire peut donner un effet aveuglant un peu exagr et 
les ombres desgod raysparfois trs trop marques ce qui peut
 leur donner un air artificiel mais ne crachons pas dans la 
soupe  le jeu est clairement plus lumineux contrast et chatoyant
 comme aen plus des diffrents effets lumineux et des 
couleurs plus naturelles on notera aussi un effet de profondeur de 
champ les petites aberrations chromatiques et reflets les halos plus 
intenses autour des sources lumineuses lumire rflchie par les murs 
ou votre arme davantage de verdure au bord des chemins et dans les 
plaines une distance daffichage un peu plus gnreusepar 
contre les personnages nont pas t amliors ils ont encore ce petit
 ct mcanique dans leurs animations et leurs expressions de plus 
lintelligence artificielle est toujours aussi basique quant aux 
modles ils nont pas boug non plus et restent parfois un peu bruts de
 dcoffrage comme des rochers ou des morceaux de montage trs 
gomtriquesau bout du compte cette version de skyrim 
vaut-elle le coup  bien sr que oui a reste le bon jeu quil a 
toujours t avec un rehaut graphique apprciablecette 
version conviendra donc  quiconque na jamais jou  skyrim et aux 
initis qui relanceront le jeu avec plaisir pour profiter des 
amliorations ceux-l mme qui ont probablement eu la special edition 
gratuitement comme moi de plus les amliorations apportes au jeu 
risquent de vous pargner linstallation de mods ou de certains mods 
graphiques ce qui nest pas plus malpour conclure face  la rage qui entoure ceremaster je dirais que si vous en vouliez ou en espriez plus et bien moddez-lemme
 si parfois vous navez pas tort dans ce que vous reprochez  la 
politique de bethesda et  cette nouvelle version ntes-vous tout de 
mme pas en contradiction lorsque vous ne recommandez pas ce jeu et  ou
 lchez desdislikesen masse sur les avis positifs pour essayer de les discrditera
 revient  essayer de faire croire que skyrim mme plus beau nest pas
 recommandable en soi alors que ce jeu est recommandable peu importe 
que ce soit la versionvanillade  ou celle-ci si ce jeu 
tait fondamentalement si mauvais et donc pas recommandable vous ny 
auriez pas pass des centaines ou des milliers dheures sur lancienne 
version qui plus estvous avez bien accept et adul lancien 
skyrim malgr ses tares soit en faisant avec soit en le moddant pour y
 remdier du coup je trouve paradoxal de venir descendre cette 
version alors que cest une copie exacte mais plus jolie dun bon jeu
 que vous avez aimon vous demande de noter le jeu pour ce 
quil est pas de le comparer  vos dsirs irralistes ou  votre 
version gave de mods forcment plus belle que celle-ci ni de juger la 
politique de bethesda qui nest pas toute blanche mais pas toute noire
 non plus ne soyez pas si manichensle skyrim originel malgr ses dfauts est un bon jeu et il est recommandable sa versionremasterlest donc tout autant puisquelle ne change rien si ce nest les graphismes qui sont plus beauxles bons points cest toujours du bon vieux skyrim un jeu qui reste norme et  la 
dure de vie tout aussi norme et avec les dlc inclus les graphismes rehausss la communaut des moddeurs encore et toujours au taquet donc si des 
choses ne vous plaisent pas dans la special edition il y a de fortes 
chances que ce soit un jour rglles points  signaler les bugs inhrents  la version originale nont pas t corrigs par 
bethesda mais ils le sont ou le seront grce aux mods lactivation dun ou plusieurs mods bloque les succs si vous 
voulez jouer avec des mods et avoir les succs a fait tache 
cependant il existe dj un mod qui permet de faire sauter le 
blocage des succs si le rehaut graphique est 
apprciable le reste na pas boug comme les animations des 
personnages les modles un peu grossiers ou encore liamj 
 comme cela ma t demand voici les liens vers le mod qui annule le 
blocage des succs ce mod doit tre install en  tapes et ne 
fonctionne pas avec les  mods manager  il faut donc 
linstaller manuellement mais cest facile et rapide de plus le 
moddeur a plac des instructions trs claires images  lappuipour
 trouver facilement le dossier o installer le mod  clic droit sur
 le nom du jeu dans votre bibliothque steam  proprits  
fichiers locaux  parcourir les fichiers locauxtape  tlcharger et placer le fichier  dinputdll  dans le dossier de skyrim sehttp
wwwnexusmodscomskyrimspecialeditionmods
tabnavtaghttpaffwwwnexusmodscomfskyrimspecialeditionfajaxfmoddescriptionffiddpreviewdpuptape  tlcharger et placer le dossier  plugins  dans le dossier  data  de skyrim sehttp
wwwnexusmodscomskyrimspecialeditionmods
tabnavtaghttpaffwwwnexusmodscomfskyrimspecialeditionfajaxfmoddescriptionffiddpreviewdpuppour le reste internet est votre ami "
4,positif,"unepuremerveillece jeu est la dfinition de 
merveille si vous ne lavez jamais test et que vous tes fan demplois
 du temps bien respects cest bien simple ny jouez pas ce jeu est 
comme un trou noir ce qui y tombe nen ressort ja-mais jy joue sur 
ps depuis  et sur pc depuis  et je continuerais jusqu ce que
 les doigts men tombent parce que je nai pas trouv un rpg meilleur 
que celui-l je dfie qui que ce soit de me trouver un rpg aussi bon 
mais bon a cest du dis et redis alors concrtement pourquoi acheter ce
 jeu-le monde ouvert trs beau et incroyablement riche mme 
si un peu petit compar aux jeux de nos jours qui te mappent tout le 
dpartement dauvergne mais mme aprs  ans  y jouer on trouve 
parfois au cours de sa nime partie un dtail quon a pas remarqu une
 grotte non visite etc-la musique couple aux dcors mon 
activit favorite tait de me poser devant une falaise et de contempler 
la vue avec la musique dans le fondjusqu ce quun dragon vienne 
casser les -le gameplay simple et mallable tu ne 
choisis pas une classe tu choisis des comptences dans lesquelles 
tenrichir ce qui ne coince pas ton personnage dans une case par 
exemple tu peux augmenter les comptences en combat  arme  une main ou
 magie de destruction et si a te saoule les reset afin de 
reconstruire les comptences de ton perso si je devais trouver un 
mais je dirais juste que la monte en niveau devient suuuuuuper 
longue avec le temps parce que soit tu reset tes comptences pour 
continuer soit tu attends un an pour passer du niveau   -
lhistoire bon l je vais pas vous mentir les mecs la qute 
principale on la tous oublie pour faire une qute secondaire ou un 
autre arc narratif pas parce quelle est moins bien mais parce que ce 
jeu est tellement riche  tas une guerre civile qui fait rage 
depuis des annes les dragons sont de retour depuis leur disparition il
 y a de cela des sicles des rumeurs parlent dattaques de vampire  
travers toute bordeciel et on dit quun enfant de dragon sest rveill
 en solstheim bref le monde part en  et cest parfait-
les factions comme dans oblivion ce jeu possde des factions selon qui 
tu kiffes le plus les compagnons pour les guerriers bourrins ou les 
furry  vous de voir petite private joke on rigole tous ha ha 
ha la guilde des voleurs lacadmie des mages de fortdhiver et la 
confrrie noire pour les aspirants assassins mais a cest les factions
 de classes mais ils y a les factions politiques car ce jeu prend 
place dans une guerre civile entre lempire et les sombrages qui veulent
 faire leur brexit avec lempire toujours pas alors peut-tre 
choisiras tu entre les chasseurs de vampires de la garde de laube et 
les vampires du clan volkihar cherches pas tu peux pas t dans
 ce jeu cest simple tas pas le tempsle seul hic cest qu la fin tas plus de titres et de responsabilits quun dictateur africain-
le doublage mention spciale aux doubleurs de ce jeu le gratin du 
voice acting franais cocorico comme dirait arnaud montebourg tu te 
balades dans le jeu de pnj en pnj en rptant continuellement cette 
phrase ah mais je connais cette voix et cest un plaisir non 
dissimul pour moi mme si tout le monde sen fout et que je kiffe des 
trucs bizarres mme que je men fiche dabord do tu juges-
les graphismstooop je sais les graphismes ne sont pas de super 
qualit jen conviens mme si le jeu est sorti en  cest  peine 
mieux que oblivion certes mais en jouant  ce jeu regardez les 
btiments les paysages les monstres les vtements les diffrentes 
races les armes et armures tout dans ce jeu transpire la crativit 
alors oui le jeu est vieillot graphiquement cest la seule vritable 
critique que lon puisse lui faire-les easter eggs dans le jeu
 vous trouverez quelques oeufs de pcques pas littralement nallez 
pas chercher des oeufs dans le jeu soyez pas  en rapport avec le 
monde du jeu vido je dirais pas lesquels parce que je suis pas un 
fdp mais il vous arrivera je voir un truc et davoir cette raction 
pleine de sens mais quest-ce quaaaaaaaaaaaaaaaah okniceparfois
 le jeu offrira des moments de nostalgie suprme aux fans de la vieille 
en foutant des rfrences  oblivion ou morrowind et a fait plaisir de 
verser une petite larme de bonheur-la sensation de puissance 
ce qui est bien avec skyrim cest que plus tu montes en grade plus tu 
le sens alors autant dire que quand tu dfonces  gardes en allant 
faire tes courses alors quil y a deux jours parce que soyons ralistes
 tu ne dcolleras pas de ce jeu avant un moment ils te poutraient comme
 un crs poutre du gilet jaune tu sens que tu pses ce qui est bien 
aussi cest quil y a toujours moyen de trouver de nouveaux challenges 
le jeu tenvoies par pallier de niveaux des nouveaux ennemis toujours 
plus puissants histoire que tu prennes pas la confiance trop vite mais
 au final le dieu vivant dans ce jeu cest toi et a se sens-bon liaestingale
 mais les personnages peuvent tre forts et attachants parce que bien 
dfinis alors quand un personnage meurt tu vas immdiatement recharger
 ta sauvegarde parce que mme si ton follower te bloque passage pour la 
me fois aujourdhui ben au final tu laimes bien au point de ne pas
 vouloir le voir mourir au moins pas pas quelquun dautre que toialors
 attention le jeu peut tre un peu bugg recharger une sauvegarde 
suffit en gnral en mme temps vous vous attendiez  quoi cest un 
jeu bethesda en plus dtre graphiquement us il y a des mods pour 
a entre autre mais le contenu vaut chaque centime que vous dpenserez
 sur ce jeu garanti"
5,positif,"produit reu gratuitementje fais cette valutation simplement pour contrebalancer
 un chouilla le nombre simplement affolant de joueurs ingrats et 
ignorants qui laissent des valuations sur cette dition remastered de 
the elder scrolls v skyrim mon sens cest vraiment trs 
simple  les joueurs qui navaient pas the elder scrolls v skyrim ont 
dsormais loccasion de pouvoir le dcouvrir dans de biens meilleures 
conditions que lors de sa sortie en  avec tout le contenu des dlc 
pour une somme franchement raisonnable compte tenu du nombre dheures 
potentiel  passer une belle occasion doncdautres joueurs 
qui comme moi ont la legendary edition ou quivalent se sont vus 
offert une version remastered sans aucun frais pourtant une portion 
hlas trs visible et bruyante de ces joueurs trouve bien mieux de se 
plaindre de quelque chose quelle sest vue offerte plutt que de se 
rjouir de se ltre vu offrir alors que rien naurait empcher 
bethesda de faire payer sa special edition comme pour les versions 
consolesmais de quoi peuvent bien se plaindre ces ingrats 
simiens qui ont malheureusement appris lart de lcriture pour polluer 
la page dvaluations ngatives  des graphismes videmment  et gna gna
 gna que mon jeu est plus beau modd sous lancienne dition et gna gna
 gna que bethesda respecte rien avec cette dition mais bl de 
me cest un cadeau  comment on peut se plaindre dun truc donn 
gratuitement   ce compte-l bethesda aurait mieux fait de vous le 
faire payer bande dingrats  ils se seraient pas faits allums pour 
rien au moins dautant quils suffiraient  ces personnes-l dattendre
 deux-trois semaines pour avoir de nouveau leurs mods graphiques avec 
des textures k quils ne regarderont mme pas sur cette special 
editionpour ma part je suis trs content de cette dition car
 et cest vraiment l que les joueurs qui se plaignent sont ignorants 
le jeu tourne dsormais sous un moteur directx  qui font que des 
effets tels que les god rays sont bien moins gourmands en performance 
mais par-dessus tout lxcutable est dsormais en  bits cest  
dire que plus de mmoire vive peut tre allou au jeu donc les 
possibilits de modding deviennent bien plus importantes  franchement 
cest la chose la plus cool que bethesda pouvait offrir  la communaut 
vraiment trs active de ce jeu et ce dernier bien que perfectible 
reste malgr tout une exprience des plus apprciables mme en vanilla 
vanilla  sans modsdonc je le dis  ceux qui liront cette 
valuation aprs en avoir lu dautres bien moins logieuses et  tort 
pour la plupart nhsitez pas si vous navez jamais jou  skyrim  
foncez  ou attendez les soldes pour le prendre cest encore ce quil y
 a de plus avis  faire"
6,positif,"alors cette dition spciale  dispensable ou 
indispensable  et bah en fait la rponse ne peut venir que de vous je 
mexplique mettons que vous avez comme moi pli et repli le 
jeu sur une console de jeu old gen cest  dire en p en  fps 
sans champs de vision modulable sans mods et avec des forts 
dpeuples ensuite ajoutons  lquation que vous tes en train de me 
lire sur steam et par consquent que vous vous apprtez  dcouvrir le 
jeu dans sa version pc alors l oui cette version de skyrim est trs 
recommandable dans votre cas comme elle la t dans le mienbah
 oui pour moi cette nouvelle version ressemble un peu  un nouvel 
pisode de la licence tant je redcouvre avec merveillement tous ces 
endroits familiers  il faut dire quils mapparaissent  prsent 
sous un bien meilleur jour et puis moi qui apprcie de refaire parfois 
un jeu par pure nostalgie sans y perdre tout le temps que je pourrais 
consacrer  un nouveau jeu je suis bien videmment fou de joie devant 
la varit des mods disponibles directement sur la page daccueil du 
jeu grace  eux jai rapidement retrouv le personnage que javais 
longuement et patiemment bti point de comptence aprs point de 
comptence et cela pendant des centaines dheures de jeu sur ma console
 dsutele problme cest que tout ce que je viens de dire 
fonctionne seulement dans un cas bien particulier celui dun ancien 
joueur console reconverti au monde du pc entre temps car si vous 
possdez dj lintgrale du jeu si votre carte graphique et votre 
moniteur taient dj solides lanne de sortie de skyrim et si en plus 
de cela vous avez vers abusivement dans lart de linstallation de mods
 pour rendre le jeu plus beau quil ne ltait dorigine alors passez 
purement et simplement votre chemin car cette nouvelle version ne vous 
blouira daucune sorteaprs vous tes peut-tre aussi un pur 
admirateur de cet pisode et cette version vous fait de lil car elle 
vous fournit simplement un bon prtexte pour retourner en tamriel eh 
bien dans ce cas nous entrons dans le domaine du cur qui ignore ce que
 la raison sait et vous navez donc pas besoin de mon avis pour revenir 
en terres connues alors tout ce que je peux faire cest vous conseiller
 de recommencer le jeu en vous focalisant directement sur les missions 
les comptences lquipement et videmment le roleplay lies  limage 
que vous dsirez forger de votre personnage et cela avant de passer 
directement sur lextension dragonborn ce superbe dlc pouvait 
apparatre un peu redondant  sa sortie suite aux centaines dheures de 
jeux accumules juste avant mais il vous semblera dsormais plus 
rafrachissant aprs cette longue priode de vacances loin de tamrielbon retour au pays et que julianos vous aide  faire le bon choix"
7,positif,"produit reu gratuitementma vie sociale sest considrablement rduite pendant un
 certains moment quand jai commenc  dcouvrir skyrim prs de h 
dans lancienne versionsrement le meilleur rpg qui mai t 
donn de jouer au jour daujourdhui  immersif un univers de dingue 
une superbe histoire des qutes  nen plus finir un super gameplay 
de la lecture   du trs bon en sommes il nest juste pas recommandable  ceux qui deviennent facilement accroje nai pas achet le online  je tiens encore  voir le soleil"
8,positif,public conseill  je ne conseillerai pas ce jeu mme  mon pire ennemi les enfants les fans du genre ou de la franchise les casual gamers tout public les hardcore gamers les pgm sud-corens graphismes   vomir par terre trs mauvais mauvais corrects bons trs bons beaux  en chialer  quand tout est en ultra -----  bits  bits qualitprix  gratuit il faudrait me payer pour y jouer attendez une promo abordable pas cher  ce prix l cest cadeau configuration pc recommande  lordi de ma grand mre entre de gamme milieu de gamme haut de gamme un pc de la nasa la prise en main inn facile ncessite quelques heures difficile ncessite limplantation dun nouveau bras dure de vie moins longue quune mouche brve plusieurs heures plusieurs dizaines dheures plusieurs centaines dheures infinie niveau de la traduction non traduit translater bei uno russkie pas mal derreurs quelques erreurs trs peu frquentes nickel rcurance de bug le jeu est une sorte de gros bug en phase terminal les bugs gnent le gameplay les bugs ne gnent pas le gameplay mais sont prsents quelques bugs le jeu est cod  la perfection optimisation vraiment mauvaise mauvaise acceptable correct optimus perfectus avis gnral ny jouez pas  vos risques et prils  essayer ne perdez pas plus de temps et jouez-y un must
9,positif,"produit reu gratuitementcest zoli mais cest toutthe elder scrolls v skyrim special edition
 sorti en  est un remastered du rpg sorti en  o lon incarne 
un inconnu fils de dovah ayant pour destin de mettre fin  la menace 
qui pse sur bordecielnotez que je fais une brve valuation
 du jeu tant donn que jai dj valu la version vanilla et ils 
sont quasiment en tout point similaires vous trouverez le lien plus bas
 si vous souhaitez la lireles plus on va commencer par ce qui nous a t vendu les graphismes on
 va pas se mentir le jeu est magnifique il tait dj trs bien  
lpoque mais tout a t retouch  des textures aux lumires des 
animations aux paysages et tout ceci optimisjentends dj au 
loin quelquun crier que les mods le font et il a raison mais 
loptimisation desdits mods restait plus quaproximative sinon 
inexistanteil y a aussi  noter que je nai pas relev de bugs de 
qutes ce qui est un trs trs bon point je me rappelle encore sur la 
version vanilla la galre pour rcuprer le code de qutes pour pouvoir 
avancer car un pnj tait bogucette version a t offerte  tout 
ceux qui possdait la version lgendaire de la version vanilla ce qui 
un joli cadeau surtout quand je pense  dead island qui a seulement 
fait une promo sur ses derniers remasteredles moins il y en a plusieursdj linterface utilisateur na pas t repense pour peu quelle ait t pense au dpart mais jai rag directles succs sont les mmes que la version vanillalesdits
 succs ne sont pas dbloquables si on installe des mods et il faut 
un mod pour activer les succs sur un jeu modd geniusla contenu ajout est tellement pas vident  diffrencier du jeu de base que je ne saurais dire si cest un mensonge ou pasfaire payer les modsnb - evaluation dethe elder scrolls iii morrowind--voir ici- evaluation dethe elder scrolls iv oblivion--voir ici- evaluation dethe elder scrolls v skyrim--voir iciconclusion aprs
 avoir longuement hsit je vais tout de mme le recommander le jeu 
est toujours aussi bon et plus beau cependant ne pas avoir apport 
les amliorations demandes par la communaut depuis des annes est une 
grossire erreur   si vous avez trouv cette valuation utile venez rejoindre notrepage de curation et nos forums "
